timestamp,throughput,loss_rate,rtt
0,2.61,0.08,34.86
1,5.28,0.05,39.22
2,9.33,0.055,104.83
3,2.44,0.014,48.76
4,8.46,0.03,127.89
5,3.01,0.016,67.27
6,3.21,0.077,82.24
7,7.69,0.048,100.99
8,9.18,0.04,89.74
9,9.65,0.011,82.5
10,2.93,0.081,116.22
11,6.88,0.02,115.37
12,6.75,0.08,90.18
13,4.06,0.058,123.22
14,5.37,0.032,75.42
15,2.81,0.02,35.99
16,3.74,0.099,116.62
17,3.37,0.009,33.22
18,8.89,0.05,59.03
19,6.23,0.03,118.88
20,2.03,0.093,42.3
21,9.86,0.081,114.06
22,5.43,0.073,131.27
23,8.33,0.075,117.52
24,4.38,0.096,85.81
25,6.42,0.06,45.74
26,3.02,0.058,43.01
27,9.02,0.079,57.08
28,9.38,0.042,107.1
29,6.94,0.023,78.07
30,7.7,0.081,110.94
31,6.69,0.028,40.38
32,5.45,0.065,77.19
33,5.67,0.012,127.84
34,6.12,0.002,112.89
35,8.47,0.046,85.4
36,6.1,0.019,102.95
37,3.48,0.015,135.73
38,8.14,0.085,86.16
39,4.69,0.03,110.48
40,4.09,0.094,102.77
41,2.59,0.052,115.99
42,4.95,0.061,90.34
43,7.94,0.098,100.55
44,4.94,0.071,77.72
45,9.12,0.076,59.28
46,5.52,0.05,56.31
47,5.65,0.059,78.77
48,8.77,0.002,145.35
49,8.56,0.096,37.26
50,4.76,0.032,61.37
51,4.45,0.073,95.65
52,5.81,0.005,75.96
53,6.43,0.029,38.66
54,3.68,0.051,113.07
55,6.02,0.022,138.21
56,6.63,0.079,139.62
57,6.71,0.061,41.43
58,9.19,0.036,48.94
59,6.22,0.01,75.23
