timestamp,throughput,loss_rate,rtt
0,4.97,0.055,38.34
1,7.99,0.055,57.8
2,5.58,0.067,109.97
3,8.56,0.008,142.27
4,7.78,0.079,69.5
5,6.86,0.003,123.15
6,3.42,0.037,48.34
7,3.99,0.052,53.07
8,6.44,0.075,113.45
9,7.37,0.043,90.84
10,8.74,0.073,67.56
11,5.51,0.037,122.47
12,9.31,0.05,40.0
13,5.45,0.051,110.96
14,5.9,0.041,115.99
15,2.0,0.069,30.96
16,2.58,0.091,61.38
17,8.95,0.051,131.72
18,8.99,0.016,145.01
19,4.71,0.097,77.51
20,5.06,0.035,84.25
21,7.1,0.071,61.54
22,3.22,0.077,123.0
23,3.56,0.069,95.8
24,2.03,0.02,68.13
25,6.47,0.075,132.61
26,6.77,0.04,148.4
27,5.44,0.068,55.31
28,2.5,0.005,98.43
29,4.62,0.023,142.12
30,6.62,0.05,138.48
31,8.83,0.099,138.93
32,2.14,0.02,88.39
33,9.31,0.038,114.43
34,7.48,0.026,75.8
35,8.2,0.012,125.45
36,8.37,0.066,68.86
37,4.37,0.001,102.97
38,3.25,0.096,87.56
39,4.56,0.081,63.18
40,5.1,0.016,72.6
41,5.61,0.055,57.34
42,5.12,0.096,82.92
43,6.57,0.041,95.04
44,4.62,0.077,106.73
45,3.78,0.051,146.4
46,2.66,0.1,90.34
47,2.91,0.083,148.63
48,3.82,0.085,88.82
49,7.86,0.061,83.2
50,6.55,0.098,107.73
51,4.8,0.05,147.81
52,8.97,0.091,124.61
53,4.08,0.026,69.36
54,3.39,0.097,56.2
55,2.07,0.068,30.71
56,7.32,0.077,110.17
57,6.02,0.099,146.2
58,7.48,0.011,78.54
59,4.51,0.011,44.6
