timestamp,throughput,loss_rate,rtt
0,5.43,0.078,75.71
1,6.8,0.064,122.86
2,9.37,0.063,109.92
3,4.34,0.063,58.32
4,7.6,0.075,68.28
5,6.93,0.032,125.24
6,7.06,0.025,142.21
7,5.17,0.061,136.26
8,4.34,0.076,78.64
9,9.85,0.015,44.05
10,4.89,0.046,144.04
11,8.08,0.01,46.83
12,9.99,0.049,106.45
13,6.75,0.078,131.18
14,7.84,0.08,73.58
15,7.22,0.031,108.51
16,8.21,0.007,80.82
17,6.58,0.058,55.24
18,7.56,0.06,88.7
19,2.3,0.058,135.23
20,5.68,0.077,39.24
21,9.69,0.007,65.48
22,7.42,0.094,45.08
23,6.31,0.086,58.11
24,7.39,0.001,48.25
25,6.98,0.093,71.33
26,2.24,0.052,36.71
27,3.21,0.069,73.36
28,8.48,0.021,46.27
29,9.38,0.032,89.61
30,4.11,0.022,90.48
31,2.37,0.071,59.66
32,4.82,0.045,32.85
33,4.93,0.077,114.7
34,3.45,0.081,66.79
35,6.47,0.042,94.94
36,5.89,0.089,56.1
37,5.03,0.005,58.15
38,9.96,0.009,71.77
39,8.27,0.047,142.77
40,8.13,0.031,93.81
41,5.59,0.077,115.12
42,7.17,0.005,53.68
43,2.23,0.036,60.55
44,9.03,0.062,96.88
45,7.64,0.017,99.96
46,2.44,0.047,58.66
47,2.1,0.065,139.12
48,4.86,0.059,52.87
49,5.32,0.05,98.63
50,5.94,0.061,131.7
51,5.16,0.052,92.15
52,3.33,0.0,103.02
53,7.36,0.042,96.26
54,4.94,0.059,126.41
55,8.87,0.065,125.59
56,7.4,0.008,91.77
57,8.79,0.063,68.88
58,5.61,0.053,53.54
59,6.27,0.048,46.9
