timestamp,throughput,loss_rate,rtt
0,6.89,0.096,147.65
1,2.51,0.02,107.37
2,6.57,0.044,94.57
3,4.94,0.049,78.61
4,6.78,0.033,58.39
5,3.7,0.099,119.81
6,6.26,0.091,68.23
7,3.29,0.069,140.3
8,7.16,0.037,52.01
9,8.26,0.064,39.37
10,8.01,0.085,106.36
11,6.66,0.024,84.43
12,9.98,0.065,129.41
13,7.46,0.031,125.33
14,6.67,0.047,44.62
15,8.73,0.033,65.17
16,2.64,0.072,44.46
17,5.49,0.002,41.52
18,2.48,0.013,106.36
19,2.07,0.003,40.51
20,8.44,0.089,75.01
21,9.97,0.032,130.12
22,6.11,0.016,32.64
23,7.82,0.017,61.86
24,3.44,0.059,127.64
25,4.51,0.038,45.12
26,3.45,0.055,54.77
27,8.84,0.027,38.15
28,8.62,0.018,145.9
29,9.2,0.046,93.78
30,9.32,0.019,74.96
31,3.2,0.084,79.92
32,7.46,0.095,78.79
33,9.57,0.008,71.01
34,4.87,0.035,76.15
35,7.14,0.064,131.38
36,8.9,0.038,99.32
37,2.01,0.044,123.33
38,6.27,0.094,146.42
39,3.43,0.039,42.92
40,2.6,0.047,92.07
41,6.19,0.012,63.74
42,9.05,0.073,56.69
43,9.11,0.047,53.56
44,5.49,0.003,71.63
45,5.85,0.028,46.09
46,6.8,0.003,66.78
47,7.56,0.05,45.22
48,2.51,0.07,138.5
49,2.07,0.063,108.43
50,6.09,0.013,104.47
51,4.24,0.029,113.43
52,2.23,0.091,144.5
53,3.57,0.079,111.03
54,8.4,0.024,146.49
55,5.75,0.052,39.28
56,6.58,0.097,76.81
57,2.16,0.078,49.9
58,6.42,0.018,98.95
59,8.99,0.04,131.63
