timestamp,throughput,loss_rate,rtt
0,3.9,0.039,58.64
1,9.98,0.004,139.4
2,8.04,0.011,130.75
3,8.79,0.045,68.59
4,3.77,0.075,118.44
5,4.99,0.033,88.44
6,8.27,0.032,60.42
7,3.64,0.002,47.87
8,7.12,0.038,81.43
9,9.49,0.086,130.73
10,6.84,0.032,45.29
11,5.71,0.009,33.52
12,5.24,0.017,126.0
13,5.45,0.039,82.17
14,4.46,0.006,96.15
15,3.47,0.082,104.31
16,6.64,0.083,76.91
17,6.87,0.036,48.35
18,9.27,0.02,95.19
19,8.53,0.047,100.46
20,9.33,0.056,142.61
21,4.86,0.063,46.99
22,7.74,0.025,55.47
23,6.71,0.001,107.59
24,7.49,0.086,87.95
25,2.21,0.066,114.07
26,7.28,0.096,53.35
27,9.33,0.068,106.14
28,6.09,0.053,36.6
29,3.01,0.058,72.61
30,5.53,0.032,58.03
31,4.16,0.09,104.47
32,7.93,0.085,131.96
33,2.35,0.096,147.66
34,9.03,0.001,110.18
35,7.52,0.055,80.51
36,7.56,0.039,111.91
37,2.94,0.063,135.58
38,7.97,0.061,121.36
39,3.52,0.041,68.83
40,3.9,0.058,121.75
41,5.38,0.004,70.33
42,5.64,0.062,91.01
43,9.86,0.034,68.73
44,7.6,0.007,66.73
45,9.38,0.089,120.81
46,7.88,0.008,55.32
47,9.08,0.063,85.02
48,6.09,0.035,105.16
49,6.16,0.014,65.61
50,6.07,0.024,84.71
51,7.55,0.075,49.25
52,6.74,0.087,41.01
53,7.99,0.099,37.26
54,4.46,0.059,108.49
55,5.27,0.091,120.77
56,7.86,0.063,129.34
57,3.26,0.075,94.07
58,6.44,0.015,75.69
59,9.08,0.026,40.5
