timestamp,throughput,loss_rate,rtt
0,2.98,0.029,149.01
1,7.0,0.005,84.26
2,3.13,0.023,34.91
3,6.59,0.087,109.74
4,9.36,0.01,36.57
5,3.07,0.012,72.86
6,9.78,0.025,103.97
7,6.63,0.097,81.35
8,4.85,0.016,82.0
9,2.91,0.043,44.73
10,8.71,0.026,95.05
11,2.14,0.028,70.27
12,3.86,0.041,130.87
13,8.89,0.083,36.76
14,2.39,0.055,81.83
15,7.15,0.051,61.48
16,4.95,0.069,50.27
17,9.35,0.033,77.33
18,5.13,0.017,112.28
19,7.5,0.086,146.54
20,2.92,0.045,140.97
21,4.58,0.067,65.52
22,2.46,0.091,135.97
23,3.14,0.06,138.28
24,8.46,0.008,53.94
25,5.33,0.076,66.13
26,7.84,0.072,95.27
27,9.4,0.073,95.03
28,4.71,0.059,80.27
29,8.55,0.079,118.12
30,7.39,0.089,120.74
31,6.89,0.008,108.79
32,2.18,0.023,58.16
33,6.88,0.087,54.98
34,9.17,0.039,114.96
35,5.77,0.091,49.27
36,2.99,0.001,65.26
37,6.31,0.043,30.51
38,8.28,0.096,63.82
39,4.09,0.099,139.56
40,9.98,0.024,56.09
41,6.96,0.001,128.95
42,3.1,0.053,145.44
43,6.43,0.018,43.59
44,7.19,0.088,102.93
45,9.28,0.087,118.22
46,7.11,0.049,96.55
47,2.82,0.056,68.98
48,9.28,0.074,47.69
49,3.72,0.009,39.98
50,6.0,0.076,52.81
51,9.37,0.025,56.74
52,2.14,0.08,95.25
53,2.88,0.072,102.24
54,9.37,0.073,83.72
55,2.76,0.027,119.92
56,6.85,0.038,40.34
57,8.9,0.09,107.6
58,7.04,0.002,124.94
59,4.73,0.06,84.26
